id,clio_id_display,author_display,author_vern_display,author_facet,format,isbn_display,language_facet,database_restrictions_display,material_type_display,lc_callnum_display,full_publisher_display,location_call_number_id_display,published_display,published_vern_display,title_display,title_vern_display,subject_topic_facet,subject_geo_facet,subject_era_facet,subtitle_display,subtitle_vern_display,url_fulltext_display,url_munged_display,url_suppl_display
3084270,3084270,"Seymour\, Harold\, 1910-1992",,,Books,195038908,English,,v.,,"New York : Oxford University Press\, 1960-<1971>","SML\, Stacks\, LC Classification >>  GV863 S49 (LC)|DELIM|3381849",,,Baseball,,"Baseball,History",United States,,,,,,
8013556,8013556,"Clark\, Tom\, 1941-",,,Books,,English,,73 p.,,"Berkeley\, Calif. : The Figures : Distributed by Serendipity Books\, c1976.",LSF- BEINECKE >>  Zab C549 +976B|DELIM|8439987,,,Baseball,,Baseball players,United States,,,,,,
5370453,5370453,"Crane\, Newton",,,Books,,English,,103 p.,,"London : G. Bell\, 1891.",LSF - Request for delivery to any Yale Library >>  NLj20 891c|DELIM|5841041,,,Baseball,,"Baseball,History",Great Britain,,,,,,
693775,693775,"Smith\, Myron J.",,,Books,899502229,English,,"xvii\, 915 p.",,"Jefferson\, N.C. : McFarland\, 1986.",LSF - Request for delivery to any Yale Library >>  Z7514 B3 S64 1986 (LC)|DELIM|795483,,,Baseball,,Baseball,"United States,Canada",,a comprehensive bibliography,,,,
3720735,3720735,"Ward\, Geoffrey C.",,,Books,679404597,English,,"xxv\, 486 p.",,"New York : A.A. Knopf : Distributed by Random House\, c1994.","Bass Library\, Stacks >>  GV863 A1 W37X 1994 (LC)+ Oversize|DELIM|4072002",,,Baseball,,"Baseball,History",United States,,an illustrated history,,,,
9564391,9564391,"Ward\, Geoffrey C.",,,Books,"9780307273499,0307273490,9780375711978,037571197X",English,,"xxvii\, 564 p.",,"New York : Alfred A. Knopf\, 2010.","SML\, Stacks\, LC Classification >>  GV863.A1 W37X 2010 (LC) Oversize|DELIM|9907230",,,Baseball,,"Baseball,History",United States,,an illustrated history,,,,
4920601,4920601,,,,Books,193108209X,English,,"xi\, 721 p.",,"New York : Library of America : Distributed to the trade in the U.S. by Penguin Putnam Inc.\, 2002.",LSF - Request for delivery to any Yale Library >>  PS509 B37 B37 2002|DELIM|5319732,,,Baseball,,"Baseball,American literature",,,a literary anthology,,,,
3444905,3444905,"Weil\, Danielle",,,Books,"8,478,152,420,847,810,000",English,,128 p.,,"New York : Rizzoli\, c1992.","SML\, Stacks\, LC Classification >>  GV863 A1 R524X 1992 (LC)+ Oversize|DELIM|3774827,LSF- BEINECKE >>  WIPA +1320|DELIM|7608940",,,Baseball,,Baseball,United States,,the perfect game,,,,
5951915,5951915,,,,Books,089204649X,English,,350 p.,,"St. Louis\, Mo. : Sporting News\, c2001.","Bass Library\, Stacks >>  GV863 A1 B3755 2001 (LC)|DELIM|6656306",,,Baseball,,Baseball,United States,,"100 years of the modern era\, 1901-2000",,,,
9470281,9470281,"Mizelle\, Dary John\, 1940-",,,Notated Music,,No linguistic content,,1 score,,"[Hastings on Hudson\, N.Y. : Mizelle Music]\, c2006.","MUSIC LIBRARY\, SML >>  IN PROCESS|DELIM|9813055",,,Baseball,,Baseball,,,for piano and marimba,,,,
10572486,10572486,,,,Audio,"9,719,218,499,780,970,000,000",English,,"3 sound discs (ca. 2 hr.\, 45 min.)",,"[New York] : The Symphony Space\, p2006.",LSF--Contact musiclibrary@yale.edu for use in Music Library >>  Symphony Space 234283|DELIM|10772471,,,Baseball!,,"Short stories,Radio programs,Radio stories",,,,,,,
11649715,11649715,"Seymour\, Harold\, 1910-1992",,,"Books,Online",,English,Access restricted by licensing agreement.,"xii\, 373 p.",,"New York : Oxford University Press\, 1960.",Yale Internet Resource >> Online Resource|DELIM|11783210,,,Baseball,,"Baseball,Ball games,History",United States,,the early years,,,http://site.ebrary.com/lib/yale/Doc?id=10142045~|Z|~Online book,
5215912,5215912,"Allen\, Ethan\, 1904-",,,Books,,English,,339 p.,,"New York\, Macmillan [1953]",LSF - Request for delivery to any Yale Library >>  GV867 A44 1953 (LC)|DELIM|5624810,,,Baseball,,Baseball,,,major league technique and tactics,,,,
6008937,6008937,,,,Books,159033213X,English,,239 p.,,"Huntington\, NY : Nova Science Publishers\, c2002.","Bass Library\, Stacks >>  GV863 A1 G36 2002 (LC)|DELIM|6708131",,,Baseball,,Baseball,,,a guide to the literature,,,,
5445601,5445601,"Clarke\, William Jones\, 1870-",,,Books,,English,,"viii p.\, 2 l.\, 205 p.",,"New York\, C. Scribner's Sons\, 1927.",LSF - Request for delivery to any Yale Library >>  NLj20 915cb|DELIM|5924778,,,Baseball,,Baseball,,,individual play and team play in detail,,,,
4679898,4679898,"Rielly\, Edward J.",,,Books,1576071030,English,,"xvii\, 371 p.",,"Santa Barbara\, Calif. : ABC-CLIO\, c2000.","Bass Library\, Stacks >>  GV867.64 R52X 2000 (LC)|DELIM|5073073",,,Baseball,,"Baseball,Popular culture,Social aspects",United States,,an encyclopedia of popular culture,,,,
6424765,6424765,"Bowering\, George\, 1935-",,,Books,1552451232,English,,[20] p.,,"Toronto : Coach House Books\, c2003.","SML\, Stacks\, LC Classification >>  PS8503.O875 B38 2003|DELIM|7075419,LSF- BEINECKE >>  2008 1859|DELIM|8836104",,,Baseball,,"Baseball,Sports",,,a poem in the magic number 9,,,,
3449871,3449871,"Rader\, Benjamin G.",,,Books,252017374,English,,"xvii\, 231 p.",,"Urbana : University of Illinois Press\, c1992.",LSF - Request for delivery to any Yale Library >>  GV863 A1 R33X 1992 (LC)|DELIM|3780129,,,Baseball,,"Baseball,History",United States,,a history of America's game,,,,
4922563,4922563,"Rader\, Benjamin G.",,,Books,"2,520,270,350,252,070,000",English,,"xiii\, 274 p.\, [16] p. of plates",,"Urbana : University of Illinois Press\, c2002.","Bass Library\, Stacks >>  GV863 A1 R33X 2002 (LC)|DELIM|5321712",,,Baseball,,"Baseball,History",United States,,a history of America's game,,,,
7707581,7707581,"Vecsey\, George",,,Books,679643389,English,,"xiii\, 252 p.",,"New York : Modern Library\, 2006.","SML\, Stacks\, LC Classification >>  GV863.A1 V43X 2006 (LC)|DELIM|8179756",,,Baseball,,"Baseball,History",United States,,a history of America's favorite game,,,Publisher description~|Z|~http://www.loc.gov/catdir/enhancements/fy0661/2006045033-d.html,
8226153,8226153,"Rader\, Benjamin G.",,,Books,"9,780,252,033,025,020,000,000,000,000,000,000,000,000,000,000",English,,"xiii\, 296 p.\, [16] p. of plates",,"Urbana : University of Illinois Press\, c2008.","SML\, Stacks\, LC Classification >>  GV863.A1 R33X 2008 (LC)|DELIM|8624577",,,Baseball,,"Baseball,History",United States,,a history of America's game,,,,
3034766,3034766,"Honig\, Donald",,,Books,517572958,English,,"ix\, 340 p.",,"New York : Crown\, c1990.","Bass Library\, Stacks >>  GV863 A1 H64 1990 (LC)+ Oversize|DELIM|3328104",,,Baseball,,"Baseball,History",United States,,the illustrated history of America's game,,,,
8450018,8450018,"Rielly\, Edward J.",,,"Books,Online","15,760,737,181,576,000,000",English,Access restricted by licensing agreement.,"xvii\, 371 p.",,"Santa Barbara\, Calif. : ABC-CLIO\, c2000.",Yale Internet Resource >> Online Resource|DELIM|8887222,,,Baseball,,"Baseball,Baseball players,Popular culture,Social aspects",United States,,an encyclopedia of popular culture,,,Online book~|Z|~http://ebooks.abc-clio.com/?isbn=9781576073711,
8278965,8278965,,,,Video,"14,157,024,389,781,400,000,000",English,,10 videodiscs (ca. 23 hr.),,"[Alexandria\, Va.] : PBS Home Video ; Hollywood\, Calif. : Distributed by Paramount Home Entertainment\, 2004.","FILM STUDY CENTER\, DVD >>  videodvd 1994|DELIM|8671619",,,Baseball,,"Baseball,History",United States,,,,,,
11924553,11924553,"United States. National Archives and Records Administration\, author",,,"Books,Online",,English,,1 online resource (134 unnumbered pages),,"[Washington\, D.C.] : National Archives and Records Administration\, [2013?]",Yale Internet Resource >> Online Resource|DELIM|12125320,,,Baseball,,"United States. National Archives and Records Administration,Baseball,Baseball players,History",United States,,the national pastime in the National Archives,,,PDF and epub versions~|Z|~http://purl.fdlp.gov/GPO/gpo46584,
6197637,6197637,"Morris\, Peter\, 1962-",,,Books,472098268,English,,"x\, 390 p.",,"Ann Arbor : University of Michigan Press\, c2003.",LSF - Request for delivery to any Yale Library >>  GV863.M52 M67 2003 (LC)|DELIM|6873153,,,Baseball fever,,"Baseball,History",Michigan,,early baseball in Michigan,,,,
3221922,3221922,,,,Books,881846945,English,,"xx\, 388 p.",,"New York : Carroll & Graf\, 1991.","Bass Library\, Stacks >>  GV863 B37 1991 (LC)|DELIM|3535994",,,Baseball chronicles,,"Baseball,History",,,,,,,
11379398,11379398,"Ferlinghetti\, Lawrence",,,Books,,English,,"1 broadside,1 baseball in box",,"[San Francisco] : Published by Soheyl Dahi of Sore Dove Press\, 2013.",BEINECKE (Non-Circulating) >>  Zab F384 2013B|DELIM|11527197,,,Baseball canto,,Baseball,,,,,,,
7419487,7419487,"Bowering\, George\, 1935-",,,Books,088922529X,English,,253 p.,,"Vancouver : Talonbooks\, c2006.","SML\, Stacks\, LC Classification >>  PR9199.3.B63 Z464 2006|DELIM|7938540,LSF- BEINECKE >>  2008 1837|DELIM|8833834",,,Baseball love,,"Bowering\, George\, 1935-,Travel,Baseball",North America,,,,,,
11713844,11713844,"Alex Taylor & Co.\, Inc",,,Books,,English,,24 p.,,"New York : Alex Taylor & Co.\, [191-?]",LSF - Request for delivery to any Yale Library >>  NLf93 1|DELIM|11838636,,,Baseball supplement,,,,,,,,,
12008028,12008028,,,,"Journals & Newspapers,Online",,English,Access restricted by licensing agreement.,,,"[Evanston\, Ill.\, etc.\, Century Pub. Co.\, etc.]",Yale Internet Resource >> Online Resource|DELIM|12193144,,,Baseball digest,,Baseball,,,,,,http://WA4PY6YJ8T.search.serialssolutions.com/?V=1.0&L=WA4PY6YJ8T&S=JCs&C=BASEDIG&T=marc&tab=JOURNALS~|Z|~Full text,
8027929,8027929,"Clark\, Tom\, 1941-",,,Books,,English,,1 broadside,,"Grindstone City\, [i.e. Detroit] : The Alternative Press\, [1977?]",BEINECKE (Non-Circulating) >>  BrSides Box 2007 34|DELIM|8452983,,,Baseball & classicism,,,"Michigan,Detroit",,,,,,
7015795,7015795,"Lanigan\, Ernest J. (Ernest John)\, b. 1873",,,Books,786418680,English,,"xii\, 405 p.",,"Jefferson\, N.C. : McFarland & Co.\, 2005.","SML\, Stacks\, LC Classification >>  GV877 .L25X 2005 (LC)|DELIM|7577422",,,Baseball cyclopedia,,"Baseball,Baseball players,Records",United States,,,,,Table of contents~|Z|~http://www.loc.gov/catdir/toc/ecip0421/2004018234.html,
2686519,2686519,,,,Books,,English,,232 p.,,"Cape Elizabeth\, Me. : Io Publications\, [1971?]",LSF - Request for delivery to any Yale Library >>  A89 Io112 10|DELIM|2966806,,,Baseball issue,,Baseball,,,,,,,
8934711,8934711,"Adler\, Joseph",,,"Books,Online",596009429,English,Access restricted by licensing agreement.,467 p.,,"Sebastopol\, Calif. ; Farnham : O'Reilly\, 2005.",Yale Internet Resource >> Online Resource|DELIM|9330570,,,Baseball hacks,,"Baseball,Fantasy baseball (Game)",,,,,,Online book~|Z|~http://proquest.safaribooksonline.com/?uiCode=yaleu&xmlId=0596009429,
4033953,4033953,,,,Books,275955591,English,,"ix\, 228 p.",,"Westport\, Conn. : Praeger\, 1996.","SML\, Stacks\, LC Classification >>  GV880 B37X 1996 (LC)|DELIM|4400170",,,Baseball economics,,"Baseball,Baseball players,Industrial relations,Economic aspects,Salaries\, etc",United States,,current research,,,,
9200486,9200486,,,,Journals & Newspapers,,English,,v.,,"[Davis\, Calif.?] : Ravenlock Media.,Virginia : Brassey.,Virginia : Potomac Books.,New York : Workman Publishing.,New York : Plume.,New Jersey : J. Wiley.","SML\, Stacks\, LC Classification >>  GV865.A1 B346X (LC) Oversize|DELIM|9563073,SML\, Stacks\, LC Classification >>  GV865.A1 B346X (LC) Oversize|DELIM|10674769",,,Baseball prospectus,,"Baseball players,Baseball,Rating of,Statistical methods",United States,,,,,,
7946804,7946804,,,,Books,"97,803,930,621,990,300,000,000",English,,"xxxiv\, 214 p.",,"New York : W. W. Norton & Co.\, c2007.",BEINECKE (Non-Circulating) >>  Za1 2007 B2911|DELIM|8383359,,,Baseball haiku,,"Haiku\, American,Baseball,Haiku,Senryu",,,American and Japanese haiku and senryu on baseball,,,,
12421579,12421579,"Kettmann\, Steve",,,Books,"8,021,199,809,780,800,000,000",English,,337 pages,,"New York : Atlantic Monthly Press\, [2015]","SML\, Stacks\, LC Classification >>  GV865.A32 K48 2015 (LC)|DELIM|12572512",,,Baseball maverick,,"Alderson\, Richard Lynn,New York Mets (Baseball team),Baseball managers",United States,,How Sandy Alderson revolutionized baseball and revived The Mets,,,,
3120442,3120442,,,,Journals & Newspapers,,English,,v.,,"[Westport\, CT : Meckler Pub.\, c1986-","SML\, Stacks\, LC Classification >>  GV863 A1 B379 (LC)|DELIM|3422989",,,Baseball history,,"Baseball,History",United States,,,,,,
3120456,3120456,,,,Journals & Newspapers,,English,,v.,,"Westport\, CT : Meckler\, c1989-","SML\, Stacks\, LC Classification >>  GV863 A1 B378 (LC)+ Oversize|DELIM|3423002",,,Baseball history,,"Baseball,History",United States,,,,,,
3492606,3492606,"Allen\, Ethan\, 1904-",,,Books,,English,,64 p.,,"New York\, London\, Wittlesey House\, McGraw-Hill book co.\, inc. [1942]",LSF - Request for delivery to any Yale Library >>  NLj20 +1 1942|DELIM|3825799,,,Winning baseball,,Baseball,,,,,,,
2068206,2068206,"Cook\, Earnshaw",,,Books,,English,,345  p.,,"Baltimore : Waverly Press\, 1964.",Unavailable--Try Borrow Direct or Interlibrary Loan >>  NLj29 964C|DELIM|2324631,,,Percentage baseball,,"Baseball,Probabilities",,,,,,,
3648387,3648387,,,,Books,62731890,English,,"v\, 2362 p.",,"New York\, NY : HarperPerennial\, c1993.","Bass Library\, Stacks >>  GV863 A1 T68 1993 (LC)+ Oversize|DELIM|3993030",,,Total baseball,,"Baseball,History",United States,,,,,,
5279392,5279392,"Voigt\, David Quentin",,,Books,806109041,English,,v. <1-2   >,,"Norman : University of Oklahoma Press\, [1966-<1970   >","Bass Library\, Stacks >>  GV863 V65 (LC)|DELIM|5740245",,,American baseball,,"Baseball,History",United States,,,,,,
3233896,3233896,"Mote\, James",,,Books,132928892,English,,"xiii\, 429 p.",,"New York : Prentice Hall Press\, c1989.","SML\, Stacks\, LC Classification >>  GV863 A1 M67X 1989 (LC)+ Oversize|DELIM|3548888",,,Everything baseball,,Baseball,United States,,,,,,
11803098,11803098,,,,"Video,Online",,English,Access restricted by licensing agreement.,1 online resource (47 min.),,"New York\, NY : A&E Television Networks\, 1999.",Yale Internet Resource >> Online Resource|DELIM|11918491,,,Baseball parks,,"Domes,Parks,Stadiums,Baseball",,,,,,Online video~|Z|~http://www.aspresolver.com/aspresolver.asp?ARTV;1751954,
8352952,8352952,,,,Video,,Undetermined,Usage restricted.,,,,LSF--Contact Film Study Center to request item >>  16 mm 2174|DELIM|8761528,,,Inside Baseball,,,,,,,,,
12601092,12601092,,,,Journals & Newspapers,,English,,v.,,"Mt. Morris\, Ill. : Elbak Pub.\, c1946-",LSF- BEINECKE >>  2015 +S87|DELIM|12721664,,,Baseball illustrated,,Baseball,United States,,,,,,
4251219,4251219,"Pepe\, Phil",,,Books,345414977,English,,"xvi\, 346 p.",,"New York : Ballantine Books\, c1998.","SML\, Stacks\, LC Classification >>  GV863 A1 P454X 1998 (LC)|DELIM|4628459",,,Talkin' baseball,,"Baseball,History",United States,,an oral history of baseball in the 1970s,,,,
4689596,4689596,,,,Books,1550822683,English,,271 p.,,"Kingston\, Ont. : Quarry Press\, c2000.",LSF - Request for delivery to any Yale Library >>  PS648 B37 B375 2000|DELIM|5083118,,,Baseball fantastic,,"Baseball stories\, American,Fantasy fiction\, American",,,stories,,,,
8121500,8121500,,,,Video,"7,832,911,249,780,780,000,000","English,French",,1 videodisc (109 min.),,"Universal City\, CA : Universal\, c2003.","FILM STUDY CENTER\, DVD >>  videodvd 1992|DELIM|8531841",,,Mr. Baseball,,"Baseball,Culture shock,Baseball films",Japan,,,,,,
